AuthorId_recipe,RecipeId_encoded,AggregatedRating,TotalTimeMinutes
386585,9918,5.0,65.0
126104,4311,5.0,5.0
6357,240,4.5,25.0
36944,2354,5.0,30.0
345731,9347,4.0,15.0
10113,2581,5.0,240.0
225837,7675,5.0,60.0
225021,7028,5.0,30.0
182010,8362,4.5,25.0
6810,2058,5.0,25.0
977894,10969,5.0,20.0
42720,2479,5.0,105.0
23019,572,5.0,60.0
22973,746,5.0,155.0
67656,8827,5.0,135.0
180567,5167,5.0,75.0
880889,12462,5.0,85.0
39547,144,5.0,70.0
1265522,12668,4.0,30.0
233464,6065,4.0,15.0
58104,3091,5.0,35.0
339260,9299,5.0,485.0
21752,688,5.0,370.0
205983,5857,5.0,40.0
58950,2225,5.0,10.0
24934,613,5.0,182.0
82227,3127,5.0,35.0
723867,10017,4.5,45.0
240552,8941,5.0,40.0
52543,2817,5.0,27.0
557801,10835,4.5,10.0
1762,67,5.0,70.0
32023,902,5.0,210.0
196369,6648,4.5,660.0
37779,4515,5.0,83.0
1762,67,5.0,70.0
33270,986,5.0,60.0
166642,8034,5.0,500.0
318262,13242,4.5,40.0
50441,1959,4.0,60.0
482376,11700,5.0,30.0
166642,11556,4.5,305.0
49414,9385,5.0,100.0
27643,669,5.0,13.0
89831,9284,4.0,250.0
396078,10171,5.0,6.0
55166,3991,5.0,65.0
140806,12152,5.0,20.0
163986,10599,5.0,250.0
189643,5474,5.0,25.0
226066,8189,5.0,35.0
169430,13093,5.0,5.0
65720,3032,5.0,85.0
74281,12383,5.0,55.0
215533,8111,5.0,30.0
523494,12407,5.0,20.0
192264,5725,5.0,80.0
112818,3787,5.0,230.0
37636,4592,5.0,540.0
79361,2997,4.0,125.0
80353,4353,5.0,45.0
188744,6010,5.0,70.0
8688,2859,5.0,495.0
718367,10735,4.5,30.0
1140502,11326,5.0,30.0
89831,3814,5.0,70.0
233464,6065,4.0,15.0
30534,3598,5.0,45.0
43216,2281,4.0,37.0
880336,10659,5.0,80.0
103278,3540,4.5,15.0
552613,9937,5.0,55.0
57256,4980,5.0,60.0
286502,8878,5.0,65.0
29953,13387,5.0,173.0
29196,8697,4.5,40.0
27643,1736,4.5,28.0
27643,668,5.0,70.0
102064,5007,5.0,195.0
305531,9327,5.0,370.0
21752,474,5.0,5.0
681229,10138,5.0,190.0
335149,7460,4.0,40.0
73802,3311,5.0,5.0
222478,8607,5.0,500.0
5060,10771,5.0,195.0
34146,2226,5.0,45.0
68526,9060,5.0,20.0
92261,3303,5.0,30.0
181601,6476,5.0,45.0
90672,6730,5.0,8.0
7802,406,5.0,40.0
707337,13105,4.5,25.0
37636,4918,5.0,25.0
1762,67,5.0,70.0
30534,1146,5.0,50.0
1072593,12475,5.0,30.0
50969,11234,4.5,375.0
33186,13458,4.5,150.0
494867,12646,5.0,45.0
487467,10549,4.0,60.0
